type,name,hold_period,signal_count,trade_count,win_rate,avg_return
单指标,BBI,5,1542341,1484577,49.63349422373967,0.870119132755022
单指标,BBI,10,1542341,1482375,49.3694553204248,1.1376006500480824
单指标,BBI,20,1542341,1476247,48.45873852905096,2.1263557371936477
单指标,KDJ,5,1552041,1493343,49.091166207095384,0.726181487678128
单指标,KDJ,10,1552041,1492109,48.7533609919404,1.0577964838414684
单指标,KDJ,20,1552041,1486300,48.32659532885297,2.192081412133004
单指标,LWR,5,1383998,1332043,48.99416785818169,0.6602082411334882
单指标,LWR,10,1383998,1330717,48.801837155882005,0.9456154273866685
单指标,LWR,20,1383998,1325528,48.5222006800333,2.0440441972780867
单指标,MACD,5,1154390,1111516,48.629666978987586,0.7216535986975768
单指标,MACD,10,1154390,1110505,48.751478049751306,1.1503992090349755
单指标,MACD,20,1154390,1105889,48.50786572842935,2.2941660633222614
单指标,MTM,5,1582931,1523815,49.39942126197573,0.7676456838890289
单指标,MTM,10,1582931,1522336,48.8716872400688,1.0502701395649139
单指标,MTM,20,1582931,1516332,48.301971624447106,2.0939224892696684
单指标,RSI,5,1936642,1864469,49.1211171410338,0.742315328334688
单指标,RSI,10,1936642,1862363,48.677633077518266,1.0412425228658926
单指标,RSI,20,1936642,1854829,48.13781867761417,2.006393855937449
组合,≥4红,5,1557123,1498650,49.092158090355454,0.7542498093188027
组合,≥4红,10,1557123,1497081,48.90699112886294,1.0915256146506485
组合,≥4红,20,1557123,1491106,48.406044861073454,2.154543000860091
